pic_id,condition,attractiveness,competence,dominance,fatherliness,femininity,motherliness,electability,office,year,voteshare2p
63_04,Masc_Man,0.6375,0.670175439,0.461538462,0.62254902,0.212121212,NA,0.53021978,State Representative,2004,0.621875405
65_12,Masc_Man,0.304347826,0.593406593,0.411111111,0.651162791,0.243902439,NA,0.48989899,State Representative,2012,0.174550831
71_12,Masc_Wom,0.5,0.630268199,0.424528302,NA,0.650900901,0.62755102,0.510869565,State Representative,2014,0.604778051
71_12,Masc_Wom,0.5,0.630268199,0.424528302,NA,0.650900901,0.62755102,0.510869565,State Representative,2012,0.561537027
72_12,Masc_Man,0.357142857,0.564724919,0.386363636,0.614035088,0.230496454,NA,0.489010989,State Representative,2012,0.480722785
73_06,Masc_Man,0.575471698,0.720657277,0.6,0.661764706,0.191740413,NA,0.554054054,State Representative,2006,0.466117203
77_06,Masc_Wom,0.418300654,0.596385542,0.331521739,NA,0.6875,0.573529412,0.493670886,State Senator,2006,0.429564863
78_12,Masc_Wom,0.45035461,0.641025641,0.6125,NA,0.702991453,0.522321429,0.511111111,State Representative,2012,0.724693596
82_06,Fem_Man,0.43715847,0.575617284,0.470588235,0.409574468,0.326732673,NA,0.5,State Representative,2006,0.428844422
87_04,Fem_Man,0.485507246,0.592982456,0.310185185,0.53125,0.37745098,NA,0.514563107,State Representative,2004,0.882876515
89_06,Fem_Man,0.608024691,0.706845238,0.456896552,0.56557377,0.285440613,NA,0.541262136,State Representative,2006,0.522543132
90_08,Fem_Man,0.520833333,0.629449838,0.420212766,0.510204082,0.353535354,NA,0.47826087,State Representative,2010,0.605465949
90_08,Fem_Man,0.520833333,0.629449838,0.420212766,0.510204082,0.353535354,NA,0.47826087,State Representative,2008,0.619331479
93_08,Masc_Wom,0.503546099,0.634099617,0.55,NA,0.651851852,0.421052632,0.488372093,State Senator,2008,0.597118139
96_08,Masc_Man,0.441666667,0.631944444,0.45212766,0.58490566,0.233695652,NA,0.467592593,State Representative,2008,0.463620335
97_10,Fem_Man,0.397435897,0.617216117,0.459090909,0.576923077,0.299196787,NA,0.483695652,State Representative,2004,0.532223165
